source_file,route_id,evaluation_scenario,scenario,target_ability,table2_abilities,filename,driving_score,route_completion,infraction_penalty,success,status,runtime_failure,collision_count,collision_vehicle,collision_pedestrian,collision_layout,blocked,timeout,yield_violation_count,red_light_count,stop_infraction_count,route_deviation_count,outside_lane_count,critical_infraction_count,min_speed_record_count,town,weather,save_name,duration_game,duration_system,notes
/home/kmw/Summer_Intership/Carla/Bench2Drive_dataset_manage/Weak_Scenario_Mining/results/result.json,RouteScenario_17569_rep0,SequentialLaneChange,LaneChange,,"[""Merging""]",,36.0,100.0,0.36,False,Completed,False,2,2,0,0,False,False,0,0,0,0,0,2,19,Town12,18,RouteScenario_17569_rep0_Town12_SequentialLaneChange_1_18_07_25_22_18_16,17.95,206.225,vehicle_collision=2; penalty=0.36
/home/kmw/Summer_Intership/Carla/Bench2Drive_dataset_manage/Weak_Scenario_Mining/results/result.json,RouteScenario_1792_rep0,HazardAtSideLane,HazardAtSideLane,,"[""Overtaking""]",,100.0,100.0,1.0,True,Completed,False,0,0,0,0,False,False,0,0,0,0,0,0,20,Town12,18,RouteScenario_1792_rep0_Town12_HazardAtSideLane_1_18_07_25_22_12_51,38.45,458.46,
/home/kmw/Summer_Intership/Carla/Bench2Drive_dataset_manage/Weak_Scenario_Mining/results/result.json,RouteScenario_2286_rep0,HighwayCutIn,HighwayCutIn,,"[""Merging""]",,100.0,100.0,1.0,True,Completed,False,0,0,0,0,False,False,0,0,0,0,0,0,19,Town12,18,RouteScenario_2286_rep0_Town12_HighwayCutIn_1_18_07_25_22_08_30,13.95,175.172,
/home/kmw/Summer_Intership/Carla/Bench2Drive_dataset_manage/Weak_Scenario_Mining/results/result.json,RouteScenario_2416_rep0,VanillaNonSignalizedTurnEncounterStopsign,VanillaNonSignalizedTurnEncounterStopsign,,"[""Traffic Sign""]",,0.0,0.0,1.0,False,Failed - Agent got blocked,False,0,0,0,0,True,False,0,0,0,0,0,1,0,Town12,18,RouteScenario_2416_rep0_Town12_VanillaNonSignalizedTurnEncounterStopsign_1_18_07_25_22_03_30,60.05,695.721,vehicle_blocked=1; route_completion=0
/home/kmw/Summer_Intership/Carla/Bench2Drive_dataset_manage/Weak_Scenario_Mining/results/result.json,RouteScenario_24367_rep0,ConstructionObstacle,ConstructionObstacle,,"[""Overtaking""]",,21.684,33.36,0.65,False,Failed - TickRuntime,True,1,0,0,1,False,False,0,0,0,0,0,1,5,Town06,10,RouteScenario_24367_rep0_Town06_ConstructionObstacle_1_10_07_25_22_03_30,200.05,2174.356,runtime_failure_rerun_required; layout_collision=1; route_completion=33.36; penalty=0.65
/home/kmw/Summer_Intership/Carla/Bench2Drive_dataset_manage/Weak_Scenario_Mining/results/result.json,RouteScenario_2715_rep0,StaticCutIn,StaticCutIn,,"[""Emergency Brake""]",,100.0,100.0,1.0,True,Completed,False,0,0,0,0,False,False,0,0,0,0,0,0,20,Town12,5,RouteScenario_2715_rep0_Town12_StaticCutIn_1_5_07_25_22_40_48,27.75,270.275,
/home/kmw/Summer_Intership/Carla/Bench2Drive_dataset_manage/Weak_Scenario_Mining/results/result.json,RouteScenario_27582_rep0,PedestrianCrossing,PedestrianCrossing,,"[""Emergency Brake"", ""Traffic Sign""]",,100.0,100.0,1.0,True,Completed,False,0,0,0,0,False,False,0,0,0,0,0,0,19,Town11,5,RouteScenario_27582_rep0_Town11_PedestrianCrossing_1_5_07_25_22_03_32,21.0,225.216,
/home/kmw/Summer_Intership/Carla/Bench2Drive_dataset_manage/Weak_Scenario_Mining/results/result.json,RouteScenario_2790_rep0,InvadingTurn,InvadingTurn,,"[""Give Way""]",,100.0,100.0,1.0,True,Completed,False,0,0,0,0,False,False,0,0,0,0,0,0,19,Town12,2,RouteScenario_2790_rep0_Town12_InvadingTurn_1_2_07_25_22_16_30,15.45,190.173,
/home/kmw/Summer_Intership/Carla/Bench2Drive_dataset_manage/Weak_Scenario_Mining/results/result.json,RouteScenario_3144_rep0,VanillaSignalizedTurnEncounterRedLight,VanillaSignalizedTurnEncounterRedLight,,"[""Traffic Sign""]",,0.0,0.0,1.0,False,Failed - Agent got blocked,False,0,0,0,0,True,False,0,0,0,0,0,1,0,Town12,18,RouteScenario_3144_rep0_Town12_VanillaSignalizedTurnEncounterRedLight_1_18_07_25_22_03_32,60.05,791.823,vehicle_blocked=1; route_completion=0
/home/kmw/Summer_Intership/Carla/Bench2Drive_dataset_manage/Weak_Scenario_Mining/results/result.json,RouteScenario_3373_rep0,YieldToEmergencyVehicle,YieldToEmergencyVehicle,,"[""Give Way""]",,70.0,100.0,0.7,False,Completed,False,0,0,0,0,False,False,1,0,0,0,0,1,19,Town13,14,RouteScenario_3373_rep0_Town13_YieldToEmergencyVehicle_1_14_07_25_22_46_45,19.35,204.233,yield_violation=1; penalty=0.7
