frame,frame_number,timestamp,x,y,z,road_id,section_id,lane_id
00000,0,,144.6530303955078,193.17050170898438,2.2913765907287598,67,0,-2
00001,1,,144.6530303955078,193.17050170898438,2.291422128677368,67,0,-2
00002,2,,144.6530303955078,193.17050170898438,2.291520595550537,67,0,-2
00003,3,,144.6530303955078,193.17050170898438,2.2916083335876465,67,0,-2
00004,4,,144.6529998779297,193.17050170898438,2.291637420654297,67,0,-2
00005,5,,144.60415649414062,193.17063903808594,2.289945363998413,67,0,-2
00006,6,,144.4921112060547,193.1708221435547,2.2868778705596924,67,0,-2
00007,7,,144.33251953125,193.17135620117188,2.28303861618042,67,0,-2
00008,8,,144.12371826171875,193.17189025878906,2.278204917907715,67,0,-2
00009,9,,143.85263061523438,193.1725311279297,2.2718985080718994,67,0,-2
00010,10,,143.5049285888672,193.17333984375,2.2637939453125,67,0,-2
00011,11,,143.08395385742188,193.17431640625,2.2541873455047607,67,0,-2
00012,12,,142.5922088623047,193.1754913330078,2.2432379722595215,67,0,-2
00013,13,,142.03440856933594,193.1768341064453,2.231018304824829,67,0,-2
00014,14,,141.46400451660156,193.1781768798828,2.2190091609954834,67,0,-2
00015,15,,140.8485870361328,193.17962646484375,2.205294132232666,67,0,-2
00016,16,,140.14822387695312,193.18128967285156,2.1892905235290527,67,0,-2
00017,17,,139.3639373779297,193.18312072753906,2.1714494228363037,67,0,-2
00018,18,,138.50515747070312,193.18507385253906,2.152240753173828,67,0,-2
00019,19,,137.6358642578125,193.18702697753906,2.133650541305542,67,0,-2
00020,20,,136.7952423095703,193.18896484375,2.1159965991973877,67,0,-2
00021,21,,135.97488403320312,193.19091796875,2.0984444618225098,67,0,-2
00022,22,,135.182373046875,193.19273376464844,2.081357002258301,67,0,-2
00023,23,,134.4044647216797,193.19448852539062,2.0642223358154297,67,0,-2
00024,24,,133.61940002441406,193.1962432861328,2.0466012954711914,67,0,-2
00025,25,,132.8378143310547,193.197998046875,2.02919864654541,67,0,-2
00026,26,,132.06253051757812,193.19976806640625,2.011991500854492,67,0,-2
00027,27,,131.3083953857422,193.20152282714844,1.995414137840271,67,0,-2
00028,28,,130.56494140625,193.20327758789062,1.9788793325424194,67,0,-2
00029,29,,129.8046112060547,193.2050323486328,1.961603045463562,67,0,-2
00030,30,,129.00741577148438,193.2069091796875,1.9433892965316772,67,0,-2
00031,31,,128.19992065429688,193.2088623046875,1.9253817796707153,67,0,-2
00032,32,,127.3916244506836,193.2108154296875,1.9075344800949097,67,0,-2
00033,33,,126.60163116455078,193.21263122558594,1.890291452407837,67,0,-2
00034,34,,125.82038879394531,193.21438598632812,1.873024821281433,67,0,-2
00035,35,,125.02003479003906,193.2162628173828,1.8549294471740723,67,0,-2
00036,36,,124.1808090209961,193.2182159423828,1.8358293771743774,67,0,-2
00037,37,,123.33982849121094,193.2201690673828,1.81727933883667,67,0,-2
00038,38,,122.5300521850586,193.2221221923828,1.7997716665267944,67,0,-2
00039,39,,121.73536682128906,193.2239532470703,1.7822731733322144,67,0,-2
00040,40,,120.92420959472656,193.2259063720703,1.7639391422271729,67,0,-2
00041,41,,120.07603454589844,193.2278594970703,1.7446210384368896,67,0,-2
00042,42,,119.22695922851562,193.2298126220703,1.7258641719818115,67,0,-2
00043,43,,118.41487884521484,193.23175048828125,1.708371877670288,67,0,-2
00044,44,,117.65070343017578,193.23350524902344,1.691934585571289,67,0,-2
00045,45,,116.91168975830078,193.2352752685547,1.6755924224853516,67,0,-2
00046,46,,116.16533660888672,193.23703002929688,1.6586138010025024,67,0,-2
00047,47,,115.38955688476562,193.23878479003906,1.6408207416534424,67,0,-2
00048,48,,114.60641479492188,193.24053955078125,1.6232596635818481,67,0,-2
00049,49,,113.82363891601562,193.24229431152344,1.6058868169784546,67,0,-2
00050,50,,113.0592041015625,193.2440643310547,1.5891317129135132,67,0,-2
00051,51,,112.3102798461914,193.24581909179688,1.5726492404937744,67,0,-2
