clip,clip_path,annotation_file,command_id,command_name,raw_value
Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25/anno/00000.json.gz,4,LANEFOLLOW,4
Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25/anno/00001.json.gz,4,LANEFOLLOW,4
Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25/anno/00002.json.gz,4,LANEFOLLOW,4
Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25/anno/00003.json.gz,4,LANEFOLLOW,4
Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25/anno/00004.json.gz,4,LANEFOLLOW,4
Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25/anno/00005.json.gz,4,LANEFOLLOW,4
Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25/anno/00006.json.gz,4,LANEFOLLOW,4
Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25/anno/00007.json.gz,4,LANEFOLLOW,4
Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25/anno/00008.json.gz,4,LANEFOLLOW,4
Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25,/home/kmw/Summer_Intership/Carla/Scenario/Accident_Town03_Route24816_Weather25/anno/00009.json.gz,4,LANEFOLLOW,4
